cell_id,x,y,obj_a,obj_b,dbid_a,dbid_b,label
R6C0,366,144,DHS_PAD_SMALL_SAME_DRILL,DHS_PAD_LARGE_SAME_DRILL,(dbid:000001C3D33593D0 nil),(dbid:000001C3D3359490 t),same drill diff pad size
R6C1,402,144,DHS_RND_PTH_025,DHS_PAD_LARGE_SAME_DRILL,(dbid:000001C3D33597F8 nil),(dbid:000001C3D33598B8 t),std vs large pad
R6C2,150,112,DHS_RND_PTH_025,DHS_PAD_SMALL_SAME_DRILL,(dbid:000001C3D3359C18 nil),(dbid:000001C3D3359CD8 t),std vs small pad
R6C3,186,112,DHS_PAD_SQUARE_SAME_DRILL,DHS_RND_PTH_025,(dbid:000001C3D335A038 nil),(dbid:000001C3D335A0F8 t),round vs square pad
R6C4,222,112,DHS_PAD_OBLONG_SAME_DRILL,DHS_RND_PTH_025,(dbid:000001C3D335A458 nil),(dbid:000001C3D335A518 t),round vs oblong pad
R7C0,258,112,DHS_PAD_SQUARE_SAME_DRILL,DHS_PAD_OBLONG_SAME_DRILL,(dbid:000001C3D335A878 nil),(dbid:000001C3D335A938 t),square vs oblong pad
R7C1,294,112,DHS_PAD_TOP_SMALL_BOT_LARGE,DHS_PAD_TOP_LARGE_BOT_SMALL,(dbid:000001C3D335AC98 nil),(dbid:000001C3D335AD58 t),layer pad swap
R7C2,330,112,DHS_PAD_SMALL_SAME_DRILL,DHS_PAD_LARGE_SAME_DRILL,(dbid:000001C3D335B0B0 nil),(dbid:000001C3D335B170 t),diff pad size diff net
R7C3,366,112,DHS_PAD_SQUARE_SAME_DRILL,DHS_PAD_OBLONG_SAME_DRILL,(dbid:000001C3D335B4D0 nil),(dbid:000001C3D335B590 t),pad shape no-net
R7C4,402,112,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D335B8F0 nil),(dbid:000001C3D335B9B0 nil),pad control X+0.001
R8C0,150,80,DHS_SLOT_PTH_025X075,DHS_SLOTY_PTH_025X075,(dbid:000001C3D335BCE0 nil),(dbid:000001C3D335BDA0 t),slot X vs Y same XY
R8C1,186,80,DHS_SLOT_PTH_025X075,DHS_SLOT_PTH_025X075,(dbid:000001C3D335C100 nil),(dbid:000001C3D335C1C0 nil),slot overlap X+0.20
R8C2,222,80,DHS_SLOT_PTH_025X075,DHS_SLOT_PTH_025X075,(dbid:000001C3D335C4F0 nil),(dbid:000001C3D335C5B0 nil),slot near end X+0.50
R8C3,258,80,DHS_SLOT_PTH_025X075,DHS_SLOT_PTH_025X075,(dbid:000001C3D335C8E0 nil),(dbid:000001C3D335C9A0 nil),slot separated X+0.80
R8C4,294,80,DHS_SLOT_PTH_025X075,DHS_RND_PTH_025,(dbid:000001C3D335CC60 nil),(dbid:000001C3D335CD20 nil),round in slot body
R9C0,330,80,DHS_SLOT_PTH_025X075,DHS_RND_PTH_025,(dbid:000001C3D335D050 nil),(dbid:000001C3D335D110 nil),round near slot end
R9C1,366,80,DHS_SLOTY_PTH_025X075,DHS_RND_PTH_025,(dbid:000001C3D335D440 nil),(dbid:000001C3D335D500 nil),round in slotY body
R9C2,402,80,DHS_SLOT_PTH_025X075,DHS_SLOTY_PTH_025X075,(dbid:000001C3D335D830 nil),(dbid:000001C3D335D8F0 nil),cross slots offset
R9C3,150,48,DHS_SLOT_PTH_025X075,DHS_SLOTY_PTH_025X075,(dbid:000001C3D335DC20 nil),(dbid:000001C3D335DCE0 t),cross slots same origin
R9C4,186,48,DHS_SLOT_PTH_025X075,DHS_SLOTY_PTH_025X075,(dbid:000001C3D335E040 nil),(dbid:000001C3D335E100 nil),cross slot X+0.001
R10C0,222,48,DHS_MD_1X2_C050,DHS_MD_1X2_C050,(dbid:000001C3D335E430 nil),(dbid:000001C3D335E4F0 t),multi 1x2 same origin
R10C1,258,48,DHS_MD_1X2_C050,DHS_RND_PTH_025,(dbid:000001C3D335E850 nil),(dbid:000001C3D335E910 nil),multi 1x2 vs center
R10C2,294,48,DHS_MD_1X2_C050,DHS_RND_PTH_025,(dbid:000001C3D335EBD0 nil),(dbid:000001C3D335EC90 nil),single at MD right
R10C3,330,48,DHS_MD_1X2_C050,DHS_RND_PTH_025,(dbid:000001C3D335EFC0 nil),(dbid:000001C3D335F080 nil),single at MD left
R10C4,366,48,DHS_MD_1X2_C050,DHS_MD_1X2_C050,(dbid:000001C3D335F3B0 nil),(dbid:000001C3D335F470 nil),multi partial overlap
R10C5,402,48,DHS_MD_1X2_C050,DHS_MD_1X2_C050,(dbid:000001C3D335F7A0 nil),(dbid:000001C3D335F860 nil),multi half-pitch offset
R10C6,150,16,DHS_MD_2X2_C050,DHS_RND_PTH_025,(dbid:000001C3D335FB90 nil),(dbid:000001C3D335FC50 nil),single at MD corner
R10C7,186,16,DHS_MD_2X2_C050,DHS_MD_1X2_C050,(dbid:000001C3D335FF80 nil),(dbid:000001C3D3360040 nil),2x2 vs 1x2 same origin
M0,222,16,DHS_MD_2X2_C050,DHS_MD_2X2_C050,(dbid:000001C3D3360300 nil),(dbid:000001C3D33603C0 t),multi 2x2 same origin
M1,258,16,DHS_MD_1X2_C050,DHS_MD_1X2_C060,(dbid:000001C3D3360720 nil),(dbid:000001C3D33607E0 nil),multi diff pitch same origin
M2,294,16,DHS_MD_2X2_C050,DHS_MD_2X2_C050,(dbid:000001C3D3360AA8 nil),(dbid:000001C3D3360B68 nil),multi 2x2 partial X
M3,330,16,DHS_MD_2X2_C050,DHS_MD_2X2_C050,(dbid:000001C3D3360E98 nil),(dbid:000001C3D3360F58 nil),multi 2x2 half offset
MDP0,150,32,DHS_MD_1X2_C050,DHS_MD_1X2_C050_ALT,(dbid:000001C3D3361288 nil),(dbid:000001C3D3361348 t),multi same params diff name
MDP1,186,32,DHS_MD_1X2_C050,DHS_MD_1X3_C050,(dbid:000001C3D33616B0 nil),(dbid:000001C3D3361770 nil),multi cols differ
MDP2,222,32,DHS_MD_2X2_C050,DHS_MD_2X2_CX050_CY060,(dbid:000001C3D3361A30 nil),(dbid:000001C3D3361AF0 nil),multi row clearance differ
MDP3,258,32,DHS_MD_2X2_C050_STAG,DHS_MD_2X2_C050_STAG,(dbid:000001C3D3361DB8 nil),(dbid:000001C3D3361E78 t),multi stagger same
MDP4,294,32,DHS_MD_2X2_C050,DHS_MD_2X2_C050_STAG,(dbid:000001C3D33621D8 nil),(dbid:000001C3D3362298 t),multi stagger differ
MDP5,330,32,DHS_MD_1X2_C050,DHS_MD_1X2_D025_C050,(dbid:000001C3D33625F8 nil),(dbid:000001C3D33626B8 nil),multi drill dia differ
MDP6,366,32,DHS_MD_1X2_D025_C050,DHS_MD_1X2_D025_C050,(dbid:000001C3D3362978 nil),(dbid:000001C3D3362A38 t),multi dia control
MDP7,402,32,DHS_MD_1X2_C050,DHS_MD_2X1_C050,(dbid:000001C3D3362D98 nil),(dbid:000001C3D3362E58 nil),multi rows cols swapped
MDP8,150,64,DHS_MD_1X2_C050,DHS_RND_PTH_020,(dbid:000001C3D3363118 nil),(dbid:000001C3D33631D8 nil),single at MD pitch member
MDP9,186,64,DHS_MD_1X2_C050,DHS_MD_1X2_C050,(dbid:000001C3D3363510 nil),(dbid:000001C3D33635D0 nil),multi partial pitch overlap
MDP10,222,64,DHS_MD_2X2_C050,DHS_RND_PTH_020,(dbid:000001C3D3363898 nil),(dbid:000001C3D3363958 nil),single at 2x2 pitch member
MDP11,258,64,DHS_MD_2X2_C050,DHS_MD_2X2_C050,(dbid:000001C3D3363C90 nil),(dbid:000001C3D3363D50 nil),2x2 partial pitch overlap
MDP12,294,64,DHS_MD_1X2_C050,DHS_MD_1X2_D025_C045,(dbid:000001C3D3364018 nil),(dbid:000001C3D33640D8 t),multi same pitch diff dia
MDP13,330,64,DHS_MD_2X2_C050,DHS_MD_2X2_D025_C045,(dbid:000001C3D3364440 nil),(dbid:000001C3D3364500 t),2x2 same pitch diff dia
DO0,150,8,DHS_DRILL_OFF_XP030,DHS_RND_PTH_025,(dbid:000001C3D3364860 nil),(dbid:000001C3D3364920 t),same via origin
DO1,186,8,DHS_DRILL_OFF_XP030,DHS_RND_PTH_025,(dbid:000001C3D3364C78 nil),(dbid:000001C3D3364D38 nil),NO DH: drill XY align
DO2,222,8,DHS_DRILL_OFF_XP030,DHS_DRILL_OFF_XP030,(dbid:000001C3D3365068 nil),(dbid:000001C3D3365128 t),same drill offset
DO3,258,8,DHS_DRILL_OFF_XP030,DHS_DRILL_OFF_XM030,(dbid:000001C3D3365488 nil),(dbid:000001C3D3365548 nil),NO DH: drill XY align
DO4,294,8,DHS_DRILL_OFF_XP030,DHS_DRILL_OFF_XM030,(dbid:000001C3D3365808 nil),(dbid:000001C3D33658C8 t),opposite drill offsets
PIN-A,79.128,19.632,REAL_PIN,VIA,dbid:000001C3D28C82C0,(dbid:000001C3D3365C28 t),real pin-via
